Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
8588,39,45,1,1,1,1,male- single,greater than $200,no previous credits,new car,less than 100,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,executive
3857,30,40,1,1,1,1,male- divorced / living apart,no running account,no previous credits,new car,no savings,1 to 4 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,executive
685,12,25,0,1,0,1,female,no balance or debit,no previous credits,other,no savings,4  to 7 years,25 and 35,none,4 to 7,savings,other banks,owner-occupied flat,one,unskilled
1603,24,55,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2241,21,50,1,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,more than 7 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
2384,24,64,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,no assets,other banks,free apartment,one,unskilled
601,4,23,1,0,0,1,male- single,greater than $200,no previous credits,used car,no savings,less than one year,greater than 35,none,4 to 7,no assets,no running credits,free apartment,one,unskilled
2569,39,24,1,1,0,1,male- single,greater than $200,no previous credits,new car,100 to 500,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1316,15,47,1,1,0,1,female,greater than $200,paid back previous credits at this bank,items of furniture,100 to 500,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
10366,60,42,1,1,1,1,male- single,greater than $200,no previous credits,other,no savings,more than 7 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,executive
1568,18,24,1,1,0,1,male- single,greater than $200,no previous credits,retraining,less than 100,1 to 4 years,20 and 25,none,greater than 7,car/other,no running credits,free apartment,one,unskilled
629,18,32,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,100 to 500,more than 7 years,less than 20,none,4 to 7,car/other,other banks,owner-occupied flat,two or three,executive
1750,6,45,1,0,0,1,male- single,greater than $200,problematic running account,items of furniture,100 to 500,more than 7 years,25 and 35,none,greater than 7,car/other,other banks,owner-occupied flat,one,unskilled
3488,24,23,1,1,0,1,male- single,greater than $200,no previous credits,new car,less than 100,4  to 7 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1800,18,24,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
4151,24,35,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,used car,less than 100,1 to 4 years,25 and 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2631,15,25,1,1,0,1,male- single,no balance or debit,no previous credits,household appliances,less than 100,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
5248,21,26,1,1,0,1,male- single,greater than $200,no previous credits,new car,greater than 1000,1 to 4 years,greater than 35,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
2899,18,43,1,0,0,1,male- single,no balance or debit,no problems with current credits at this bank,other,greater than 1000,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
6204,18,44,1,0,1,1,male- single,no balance or debit,no problems with current credits at this bank,household appliances,no savings,1 to 4 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
804,12,38,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
3595,36,28,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
5711,36,38,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,500 to 1000,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
2687,15,26,1,1,1,1,male- single,Less than $200,no previous credits,retraining,no savings,4  to 7 years,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
3643,15,27,1,1,0,1,male- single,no running account,no problems with current credits at this bank,used car,no savings,more than 7 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,unskilled
2146,10,23,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,less than one year,greater than 35,none,4 to 7,no assets,no running credits,free apartment,two or three,skilled
2315,10,52,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,more than 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
3448,5,74,1,1,0,1,male- single,greater than $200,no previous credits,retraining,no savings,4  to 7 years,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
2708,15,27,1,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,less than one year,25 and 35,none,4 to 7,car/other,other banks,owner-occupied flat,two or three,unskilled
1393,11,35,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,less than one year,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,executive
1275,10,23,1,1,0,1,male- single,Less than $200,no previous credits,used car,no savings,less than one year,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
1313,9,20,1,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,more than 7 years,greater than 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1493,12,34,1,0,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
2675,22,40,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2118,9,37,1,0,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
909,36,36,1,1,0,1,male- single,greater than $200,no previous credits,other,100 to 500,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
1258,12,22,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,less than one year,25 and 35,none,greater than 7,car/other,no running credits,free apartment,two or three,unskilled
1569,15,34,1,0,0,1,male- single,greater than $200,problematic running account,items of furniture,less than 100,more than 7 years,less than 20,none,greater than 7,savings,other banks,owner-occupied flat,one,unskilled
1236,6,50,1,1,0,1,male- single,greater than $200,no previous credits,new car,100 to 500,1 to 4 years,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
7678,36,40,1,1,1,1,male- single,greater than $200,no problems with current credits at this bank,used car,100 to 500,4  to 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
660,6,23,1,1,0,1,female,greater than $200,no previous credits,household appliances,100 to 500,4  to 7 years,25 and 35,none,greater than 7,no assets,no running credits,free apartment,one,unskilled
2835,24,53,1,1,0,1,male- single,greater than $200,no previous credits,used car,100 to 500,more than 7 years,20 and 25,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
2670,24,35,1,1,1,1,male- single,greater than $200,no previous credits,new car,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,executive
3447,12,35,1,0,0,1,male- single,greater than $200,problematic running account,vacation,100 to 500,1 to 4 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
3568,15,54,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,more than 7 years,less than 20,none,1 to 4,savings,other banks,free apartment,one,executive
3652,21,27,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,retraining,no savings,4  to 7 years,25 and 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
3660,24,28,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1126,9,49,1,1,0,1,male- divorced / living apart,Less than $200,no previous credits,items of furniture,less than 100,more than 7 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
683,6,29,1,1,0,1,male- single,Less than $200,no problems with current credits at this bank,items of furniture,no savings,less than one year,25 and 35,none,less than 1,car/other,other banks,owner-occupied flat,one,skilled
2251,12,46,1,1,0,1,male- single,Less than $200,no previous credits,used car,no savings,1 to 4 years,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,unskilled
4675,12,20,1,1,0,1,male- single,greater than $200,no previous credits,new car,greater than 1000,less than one year,greater than 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
2353,21,47,1,1,0,1,male- divorced / living apart,no balance or debit,no problems with current credits at this bank,other,no savings,1 to 4 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
3357,21,29,1,1,0,1,male- single,no running account,no previous credits,items of furniture,500 to 1000,less than one year,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,one,skilled
672,6,54,1,1,1,1,male- single,greater than $200,no previous credits,other,no savings,unemployed,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unemployed
338,6,52,1,1,0,1,male- single,no running account,paid back previous credits at this bank,items of furniture,100 to 500,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
2697,9,32,1,0,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2507,9,51,1,1,0,1,male- single,greater than $200,no previous credits,other,100 to 500,more than 7 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,one,unskilled
1478,15,33,1,1,0,1,female,greater than $200,no problems with current credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,4 to 7,no assets,other banks,owner-occupied flat,two or three,skilled
3565,12,37,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,greater than 1000,less than one year,25 and 35,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,unskilled
2221,15,20,1,1,0,1,male- single,greater than $200,no previous credits,used car,100 to 500,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
1898,6,34,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
1449,6,31,1,0,0,1,male- divorced / living apart,no balance or debit,no problems with current credits at this bank,retraining,less than 100,more than 7 years,greater than 35,none,1 to 4,savings,other banks,owner-occupied flat,two or three,skilled
960,15,30,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,used car,500 to 1000,4  to 7 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
8133,36,30,1,1,0,1,male- single,greater than $200,no previous credits,new car,no savings,1 to 4 years,greater than 35,none,1 to 4,car/other,other banks,owner-occupied flat,one,skilled
2301,9,22,1,1,0,1,male- single,greater than $200,no previous credits,used car,less than 100,less than one year,25 and 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
1743,6,34,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,retraining,less than 100,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
983,12,19,1,1,0,1,male- single,no balance or debit,no previous credits,used car,500 to 1000,less than one year,greater than 35,none,greater than 7,no assets,no running credits,free apartment,one,unskilled
2320,18,34,1,1,0,1,female,greater than $200,no problems with current credits at this bank,items of furniture,no savings,unemployed,25 and 35,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,skilled
339,12,45,1,1,0,1,female,no running account,problematic running account,vacation,no savings,more than 7 years,less than 20,none,less than 1,savings,other banks,owner-occupied flat,one,unskilled
5152,24,25,1,1,0,1,male- single,Less than $200,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,one,skilled
3749,24,26,1,1,0,1,male- single,Less than $200,no previous credits,used car,no savings,less than one year,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
3074,9,33,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
745,9,28,0,1,0,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
1469,24,41,1,1,0,1,female,greater than $200,no previous credits,other,less than 100,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,one,unskilled
1374,6,36,1,1,1,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,greater than 35,none,1 to 4,no assets,other banks,owner-occupied flat,one,unskilled
783,6,26,1,0,0,1,male- single,greater than $200,problematic running account,other,greater than 1000,1 to 4 years,greater than 35,guarantor,1 to 4,no assets,department stores,owner-occupied flat,one,unskilled
2606,21,28,1,1,1,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,executive
9436,54,39,1,0,0,1,male- single,greater than $200,hesitant payment of previous credits,new car,greater than 1000,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,unskilled
930,12,65,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,six or more,skilled
2751,48,38,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,more than 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
250,6,41,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,500 to 1000,1 to 4 years,25 and 35,none,1 to 4,no assets,other banks,owner-occupied flat,two or three,unskilled
1201,24,26,1,1,0,1,male- single,no balance or debit,no previous credits,other,no savings,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
662,6,41,1,0,1,1,male- single,no running account,no previous credits,other,no savings,less than one year,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
1300,15,45,1,0,0,1,male- single,greater than $200,no previous credits,new car,greater than 1000,more than 7 years,less than 20,none,greater than 7,house/land,other banks,rented flat,one,skilled
1559,24,40,1,1,1,1,male- single,greater than $200,problematic running account,retraining,no savings,4  to 7 years,less than 20,none,greater than 7,savings,other banks,owner-occupied flat,one,skilled
3016,12,24,1,1,0,1,female,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
1360,15,31,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
1204,6,35,1,1,0,0,male- single,greater than $200,hesitant payment of previous credits,other,less than 100,1 to 4 years,less than 20,none,less than 1,house/land,other banks,free apartment,one,skilled
1597,10,40,1,0,0,0,male- single,greater than $200,no previous credits,other,100 to 500,1 to 4 years,20 and 25,none,1 to 4,house/land,no running credits,free apartment,one,unskilled
2073,12,28,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,1 to 4 years,less than 20,co-applicant,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2142,11,28,1,1,1,1,male- divorced / living apart,greater than $200,no previous credits,retraining,500 to 1000,more than 7 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2132,10,27,1,1,0,0,male- single,no running account,paid back previous credits at this bank,used car,greater than 1000,less than one year,25 and 35,co-applicant,4 to 7,no assets,no running credits,free apartment,two or three,skilled
1546,10,31,1,0,0,0,male- single,greater than $200,no previous credits,other,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
1287,24,37,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,500 to 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1418,10,35,1,1,0,0,male- single,greater than $200,no previous credits,other,less than 100,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,free apartment,one,unskilled
1343,6,46,1,0,0,0,male- single,Less than $200,paid back previous credits at this bank,other,no savings,more than 7 years,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
2662,18,32,1,1,0,0,male- single,greater than $200,no previous credits,other,greater than 1000,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
6070,18,33,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1927,24,33,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,repair,greater than 1000,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
2404,18,26,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
1554,6,24,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,greater than 35,none,1 to 4,savings,no running credits,free apartment,two or three,skilled
1283,22,25,1,1,0,1,male- single,greater than $200,no previous credits,other,greater than 1000,4  to 7 years,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
717,24,54,1,1,1,1,female,greater than $200,no problems with current credits at this bank,other,greater than 1000,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1747,24,24,1,1,0,0,male- single,no running account,no previous credits,used car,no savings,less than one year,less than 20,co-applicant,less than 1,car/other,no running credits,owner-occupied flat,one,unskilled
1288,9,48,1,0,0,0,male- single,no running account,paid back previous credits at this bank,household appliances,less than 100,more than 7 years,20 and 25,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1038,10,49,1,1,1,1,male- single,no running account,paid back previous credits at this bank,other,no savings,4  to 7 years,less than 20,co-applicant,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
2848,10,32,1,0,0,1,male- single,greater than $200,no previous credits,new car,less than 100,1 to 4 years,greater than 35,co-applicant,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1413,12,55,1,1,0,0,male- single,greater than $200,no previous credits,new car,500 to 1000,4  to 7 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
3077,30,40,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
3632,24,22,1,1,0,0,male- single,no running account,problematic running account,new car,no savings,1 to 4 years,greater than 35,guarantor,greater than 7,savings,other banks,free apartment,one,skilled
3229,18,38,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,unemployed,25 and 35,none,greater than 7,house/land,no running credits,owner-occupied flat,one,executive
3577,9,26,1,0,0,0,male- single,greater than $200,no previous credits,other,less than 100,1 to 4 years,greater than 35,guarantor,1 to 4,no assets,no running credits,free apartment,one,skilled
682,12,51,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,less than 100,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
1924,10,38,1,1,1,0,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
727,10,46,1,1,1,1,male- single,greater than $200,no previous credits,repair,100 to 500,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
781,10,63,1,1,1,1,male- single,Less than $200,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
2121,12,30,1,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
701,12,32,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
2069,10,26,1,1,0,0,female,greater than $200,paid back previous credits at this bank,used car,greater than 1000,1 to 4 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1525,24,34,1,0,1,1,male- single,greater than $200,no previous credits,other,500 to 1000,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
7629,48,46,1,0,0,1,male- divorced / living apart,greater than $200,paid back previous credits at this bank,retraining,greater than 1000,more than 7 years,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,two or three,executive
3499,12,29,0,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,20 and 25,co-applicant,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
1346,6,42,1,0,1,1,male- single,greater than $200,no previous credits,items of furniture,less than 100,more than 7 years,25 and 35,none,greater than 7,house/land,other banks,rented flat,one,skilled
10477,36,42,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,more than 7 years,25 and 35,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
2924,24,63,1,0,1,1,male- single,no running account,no previous credits,new car,no savings,1 to 4 years,20 and 25,guarantor,greater than 7,house/land,other banks,owner-occupied flat,one,skilled
1231,10,32,1,0,0,0,male- single,greater than $200,paid back previous credits at this bank,other,no savings,more than 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1961,18,23,1,1,0,1,male- single,Less than $200,no previous credits,other,no savings,more than 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,executive
5045,15,59,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,greater than 1000,more than 7 years,greater than 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1255,12,61,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1858,12,22,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,less than one year,less than 20,none,less than 1,savings,no running credits,free apartment,one,skilled
1221,6,27,1,1,0,1,female,greater than $200,paid back previous credits at this bank,used car,greater than 1000,1 to 4 years,greater than 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
1388,9,26,1,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,free apartment,one,skilled
2279,12,37,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,1 to 4 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
2759,12,34,1,1,0,1,male- single,greater than $200,hesitant payment of previous credits,used car,no savings,more than 7 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
1258,24,57,1,1,0,1,male- single,Less than $200,no previous credits,items of furniture,100 to 500,1 to 4 years,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,one,unskilled
1410,12,31,1,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,vacation,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
1403,15,28,1,1,0,1,male- single,no running account,no previous credits,other,no savings,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
3021,24,24,1,1,0,1,male- divorced / living apart,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,one,unskilled
6568,24,21,1,1,0,1,female,no running account,no previous credits,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,department stores,owner-occupied flat,one,unskilled
2578,24,34,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,500 to 1000,more than 7 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
7758,24,29,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,new car,500 to 1000,more than 7 years,25 and 35,none,greater than 7,house/land,no running credits,free apartment,one,skilled
343,6,27,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1591,21,34,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,used car,less than 100,4  to 7 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,executive
3416,27,27,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,executive
1108,12,28,0,1,0,1,male- single,no running account,hesitant payment of previous credits,household appliances,no savings,4  to 7 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,skilled
5965,27,30,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,new car,no savings,more than 7 years,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
1514,15,22,1,1,0,1,male- single,no balance or debit,no previous credits,household appliances,less than 100,1 to 4 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
6742,30,36,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,4  to 7 years,25 and 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
3650,18,22,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,less than one year,greater than 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
3599,21,26,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,4  to 7 years,greater than 35,none,greater than 7,savings,no running credits,free apartment,one,unskilled
13756,60,63,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,greater than 1000,more than 7 years,25 and 35,none,greater than 7,house/land,other banks,rented flat,one,executive
276,9,22,1,1,0,1,female,no balance or debit,no previous credits,other,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,one,unskilled
4041,42,36,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,100 to 500,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
458,9,24,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,one,skilled
918,9,30,0,1,0,1,male- single,no balance or debit,no previous credits,used car,no savings,1 to 4 years,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
7393,24,43,1,0,0,1,male- single,greater than $200,no previous credits,other,no savings,1 to 4 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
1225,10,37,1,1,1,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2812,24,26,1,1,0,1,male- single,no running account,no previous credits,new car,greater than 1000,more than 7 years,25 and 35,none,greater than 7,no assets,no running credits,free apartment,one,skilled
3029,15,33,1,1,0,1,male- single,greater than $200,no previous credits,new car,no savings,4  to 7 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1480,12,66,1,1,0,1,male- single,Less than $200,paid back previous credits at this bank,other,100 to 500,unemployed,25 and 35,none,greater than 7,house/land,other banks,rented flat,four or five,unemployed
